t,ResidualInf,NewtonSteps,L2Error,H1Error,H2Error,JacobianSigmaMin,JacobianCond,HessianLambdaMin,HessianLambdaMax,HessianPSDRatio,HessianIndefRatio
1,1.32208974822177e-14,1,0.00333333331730231,0.0150872206619555,0.0704818176490498,2.21963356307721e-05,17414.6961785284,0.22507392478146,3.26659227044392,1,0
0.9,1.33114652850494e-15,3,0.000420642033739194,0.0019384456495244,0.00926292979132898,0.046667800687402,416.351499606494,0.245709134176757,3.24323218234251,1,0
0.8,2.25319762847676e-13,2,0.000174389845374537,0.000802233766683742,0.00381683286429289,0.0933876063424456,416.209530445938,0.24828594650359,3.24239905541712,1,0
0.7,3.33066907387547e-15,2,9.94995634488466e-05,0.000457470382366713,0.00217355846626958,0.140106946192616,416.166166677896,0.24903496768825,3.24214187597158,1,0
0.6,5.12534881749416e-16,2,6.327127935908e-05,0.000290825343896303,0.00138086188102322,0.186826156633591,416.14521394208,0.249391605903048,3.24201678125576,1,0
0.5,8.88178419700125e-16,2,4.19085545206873e-05,0.000192601421002163,0.000914124451226438,0.233545314140053,416.132872859433,0.249600172629187,3.2419428020719,1,0
0.4,8.88178419700125e-16,2,2.78193173824515e-05,0.000127837346768292,0.00060658220792824,0.280264444924334,416.124740837904,0.249737026599348,3.24189392259624,1,0
0.3,6.66133814775094e-16,2,1.78292783907172e-05,8.19242928722323e-05,0.000388654465496891,0.326983560359622,416.118978730728,0.249833726721386,3.2418592214075,1,0
0.2,1.77635683940025e-15,2,1.03766664829775e-05,4.76774073332e-05,0.000226153387015836,0.373702666171176,416.114682478034,0.249905683677589,3.24183331080167,1,0
0.1,1.27675647831893e-15,2,4.60367674098879e-06,2.11514846418013e-05,0.000100319279029163,0.420421765553012,416.111355916665,0.249961316799186,3.24181322597128,1,0
0,3.10862446895044e-15,2,5.83432851027926e-14,1.37646983691475e-12,7.80280602421372e-11,0.467140860427228,416.108704077647,0.250005614589335,3.24179720064165,1,0
