N,TargetP,TargetT,Q,EvalPoints,Success,ReachedTEnd,FinalT,FinalResidualInf,FinalGridL2,FinalFDH1,FinalFDH2,FinalContL2,FinalContH1,CPUSeconds,FinalJacobianCond,FinalPSDRatio,FinalIndefRatio,FailureReason
2,3,0.001,24,121,1,1,0.001,3.46595503745274e-17,0.00196739631076651,0.015138344273932,0.15077454469611,0.00196739639509092,0.0150501253434381,5.3595358,1.55762218081363,1,0,
4,5,1e-05,24,121,1,1,1e-05,5.55111512312578e-17,0.00024917998641905,0.00292183829205237,0.0497825769432386,0.000249180099968979,0.00291030775185467,5.4123064,3.67411868719009,1,0,
6,7,1e-07,24,121,1,1,1e-07,1.11022302462516e-16,2.45168295981317e-05,0.000376351065203828,0.00885526954424745,2.4516862776248e-05,0.000377128566098789,5.4251162,8.51951074174445,1,0,
8,9,1e-09,24,121,1,1,1e-09,3.12250225675825e-17,1.85960009484114e-06,3.64658908805463e-05,0.00105738010800767,1.85960454972171e-06,3.66507160330384e-05,5.472676,16.385910251385,1,0,
10,11,1e-11,24,121,1,1,1e-11,1.75640751940889e-17,1.19616993294917e-07,2.83795050886067e-06,9.75891281099343e-05,1.19617304188853e-07,2.84603688833847e-06,5.4466107,28.2941679838907,1,0,
12,13,1e-13,26,121,1,1,1e-13,1.36002320516582e-15,6.57894754041684e-09,1.84278585959022e-07,7.52232216634355e-06,6.57896284784317e-09,1.83813737827147e-07,5.5863653,44.9805325240675,1,0,
14,15,1e-15,30,121,1,1,1e-15,1.2490009027033e-15,3.16814845397796e-10,1.02246354544664e-08,4.98487372687935e-07,3.16816935783327e-10,1.01555900472387e-08,5.6358634,67.2879123858302,1,0,
16,17,1e-17,34,121,1,1,1e-17,1.30451205393456e-15,1.35519602756985e-11,4.92642043320073e-10,2.84595336140571e-08,1.35523777380986e-11,4.90172195129358e-10,5.8131918,96.0400930367217,1,0,
18,19,1e-19,38,121,1,1,1e-19,1.38777878078145e-15,5.17772295718114e-13,2.04789846764966e-11,1.35421217537682e-09,5.17810889487159e-13,2.06222826310173e-11,5.937388,132.068261376039,1,0,
20,21,1e-21,42,121,1,1,1e-21,1.4432899320127e-15,3.42930935933911e-14,1.16817058161195e-12,9.28270309595773e-11,3.4332910382972e-14,1.22118804412399e-12,6.3160957,176.205449668246,1,0,
22,23,1e-23,46,133,1,1,1e-23,1.2490009027033e-15,1.80690432810062e-14,7.1266533645922e-13,6.44218176618911e-11,1.8082586528391e-14,7.3185506387367e-13,6.7902444,229.286675173282,1,0,
24,25,1e-25,50,145,1,1,1e-25,1.38777878078145e-15,1.64996460992444e-14,7.32376171648914e-13,6.86389772451427e-11,1.65107121387531e-14,8.78123961578984e-13,7.7274194,292.14850868239,1,0,
26,27,1e-27,54,157,1,1,1e-27,1.30451205393456e-15,6.15808117864517e-14,2.15939401474374e-12,2.2074335791441e-10,6.16181813786521e-14,2.09193886332226e-12,8.3379038,365.62880976235,1,0,
28,29,1e-29,58,169,1,1,1e-29,1.41553435639707e-15,1.02458030005125e-13,4.10985213460904e-12,4.96763800684869e-10,1.02574987070417e-13,4.22023792082758e-12,9.5014385,450.566519535872,1,0,
30,31,1e-31,62,181,1,1,1e-31,1.27675647831893e-15,5.73410664499815e-14,2.77773402924228e-12,3.9359153919526e-10,5.74905638035662e-14,3.20474335765485e-12,11.233299,547.801498834126,1,0,
32,33,1e-33,66,193,1,1,1e-33,1.30451205393456e-15,3.09698379450268e-14,1.07148529812474e-12,1.46382741096481e-10,3.10229184026516e-14,1.40951153869822e-12,13.5329741,658.174403088311,1,0,
