N,TargetP,TargetT,Q,EvalPoints,Success,ReachedTEnd,FinalT,FinalResidualInf,FinalGridL2,FinalFDH1,FinalFDH2,CPUSeconds,FinalJacobianCond,FinalPSDRatio,FinalIndefRatio,FailureReason
4,5,1e-05,24,121,1,1,1e-05,5.55111512312578e-17,0.00024917998641905,0.00292183829205237,0.0497825769432386,5.2354128,3.67411868719009,1,0,
6,7,1e-07,24,121,1,1,1e-07,1.11022302462516e-16,2.45168295981317e-05,0.000376351065203828,0.00885526954424745,5.1441087,8.51951074174445,1,0,
8,9,1e-09,24,121,1,1,1e-09,3.12250225675825e-17,1.85960009484114e-06,3.64658908805463e-05,0.00105738010800767,5.2565702,16.385910251385,1,0,
10,11,1e-11,24,121,1,1,1e-11,1.75640751940889e-17,1.19616993294917e-07,2.83795050886067e-06,9.75891281099343e-05,5.203956,28.2941679838907,1,0,
12,13,1e-13,26,121,1,1,1e-13,1.36002320516582e-15,6.57894754041684e-09,1.84278585959022e-07,7.52232216634355e-06,5.256128,44.9805325240675,1,0,
14,15,1e-15,30,121,1,1,1e-15,1.2490009027033e-15,3.16814845397796e-10,1.02246354544664e-08,4.98487372687935e-07,5.4001157,67.2879123858302,1,0,
16,17,1e-17,34,121,1,1,1e-17,1.30451205393456e-15,1.35519602756985e-11,4.92642043320073e-10,2.84595336140571e-08,5.5852764,96.0400930367217,1,0,
18,19,1e-19,38,121,1,1,1e-19,1.38777878078145e-15,5.17772295718114e-13,2.04789846764966e-11,1.35421217537682e-09,5.7652445,132.068261376039,1,0,
20,21,1e-21,42,121,1,1,1e-21,1.4432899320127e-15,3.42930935933911e-14,1.16817058161195e-12,9.28270309595773e-11,6.0198006,176.205449668246,1,0,
22,23,1e-23,46,133,1,1,1e-23,1.2490009027033e-15,1.80690432810062e-14,7.1266533645922e-13,6.44218176618911e-11,6.4853958,229.286675173282,1,0,
24,25,1e-25,50,145,1,1,1e-25,1.38777878078145e-15,1.64996460992444e-14,7.32376171648914e-13,6.86389772451427e-11,7.1073435,292.14850868239,1,0,
26,27,1e-27,54,157,1,1,1e-27,1.30451205393456e-15,6.15808117864517e-14,2.15939401474374e-12,2.2074335791441e-10,7.900914,365.62880976235,1,0,
28,29,1e-29,58,169,1,1,1e-29,1.41553435639707e-15,1.02458030005125e-13,4.10985213460904e-12,4.96763800684869e-10,9.0000524,450.566519535872,1,0,
30,31,1e-31,62,181,1,1,1e-31,1.27675647831893e-15,5.73410664499815e-14,2.77773402924228e-12,3.9359153919526e-10,10.5388818,547.801498834126,1,0,
32,33,1e-33,66,193,1,1,1e-33,1.30451205393456e-15,3.09698379450268e-14,1.07148529812474e-12,1.46382741096481e-10,12.7817192,658.174403088311,1,0,
