N,TargetP,TargetT,Q,EvalPoints,Success,ReachedTEnd,FinalT,FinalResidualInf,FinalGridL2,FinalFDH1,FinalFDH2,FinalJacobianCond,FinalPSDRatio,FinalIndefRatio,FailureReason
4,5,1e-05,24,121,1,1,1e-05,2.21489493412719e-14,0.0002491799864185,0.0029218382920547,0.0497825769431933,3.67411868719055,1,0,
6,7,1e-07,24,121,1,1,1e-07,5.55111512312578e-17,2.45168295981311e-05,0.000376351065203828,0.00885526954424737,8.51951074174446,1,0,
8,9,1e-09,24,121,1,1,1e-09,1.31020749805089e-11,1.85959890214985e-06,3.64658896702199e-05,0.00105738010717703,16.3859102517261,1,0,
10,11,1e-11,24,121,1,1,1e-11,1.32327204749316e-11,1.19618309666082e-07,2.83795173472568e-06,9.75891282547467e-05,28.2941679844673,1,0,
12,13,1e-13,26,121,1,1,1e-13,1.32340804981368e-11,6.57757115418191e-09,1.84277377578062e-07,7.52232222113162e-06,44.9805325249498,1,0,
14,15,1e-15,30,121,1,1,1e-15,1.32339694758343e-11,3.18256400280679e-10,1.02258542378791e-08,4.9848720274279e-07,67.2879123870943,1,0,
16,17,1e-17,34,121,1,1,1e-17,1.32339694758343e-11,1.22520178500853e-11,4.91559574696169e-10,2.84597802867469e-08,96.0400930384497,1,0,
18,19,1e-19,38,121,1,1,1e-19,1.32339417202587e-11,2.91024620859482e-12,2.45420967459339e-11,1.35500386951947e-09,132.068261378316,1,0,
20,21,1e-21,42,121,1,1,1e-21,1.32340804981368e-11,2.58773501328294e-12,1.16656100974474e-11,1.06066153290564e-10,176.20544967116,1,0,
22,23,1e-23,46,133,1,1,1e-23,1.32339417202587e-11,2.56022605359899e-12,1.14589183029045e-11,8.24613452308875e-11,229.286675176929,1,0,
24,25,1e-25,50,145,1,1,1e-25,1.32338584535319e-11,2.56243501220974e-12,1.14704098560701e-11,8.57038914735006e-11,292.148508686863,1,0,
26,27,1e-27,54,157,1,1,1e-27,1.32339139646831e-11,2.61400549830135e-12,1.19670870043255e-11,2.26372456813012e-10,365.62880976775,1,0,
28,29,1e-29,58,169,1,1,1e-29,1.3234136009288e-11,2.64079388186037e-12,1.26393629754094e-11,4.991461522729e-10,450.566519542302,1,0,
30,31,1e-31,62,181,1,1,1e-31,1.32339972314099e-11,2.60645978545347e-12,1.20548946761878e-11,3.96716597144951e-10,547.801498841689,1,0,
32,33,1e-33,66,193,1,1,1e-33,1.32340804981368e-11,2.59188449831527e-12,1.16449458349702e-11,1.5499639507932e-10,658.174403097119,1,0,
