N,TargetP,TargetT,Q,EvalPoints,Success,ReachedTEnd,FinalT,FinalResidualInf,FinalGridL2,FinalFDH1,FinalFDH2,FinalJacobianCond,FinalPSDRatio,FinalIndefRatio,FailureReason
4,5,1e-05,24,121,1,1,1e-05,1.06468653338077e-16,1.30520779032615e-10,9.98677602072957e-10,1.14961479976416e-08,4.45755531304324,1,0,
6,7,1e-07,24,121,1,1,1e-07,5.18000562148985e-12,1.98067485602248e-11,9.04209475010395e-11,4.31416171547844e-10,10.2232230123447,1,0,
8,9,1e-09,24,121,1,1,1e-09,5.23180348870056e-12,1.98018332104726e-11,9.03895352253333e-11,4.31076889862131e-10,19.879993472033,1,0,
10,11,1e-11,24,121,1,1,1e-11,5.23232206259966e-12,1.9800475015093e-11,9.03803822468503e-11,4.30997649794264e-10,34.4438641853451,1,0,
12,13,1e-13,26,121,1,1,1e-13,5.23232715834987e-12,1.98073056336517e-11,9.04251721162024e-11,4.31511580304153e-10,54.9440747309752,1,0,
14,15,1e-15,30,121,1,1,1e-15,5.23232748361052e-12,1.97998288969921e-11,9.03791835350742e-11,4.30993152077243e-10,82.413658412786,1,0,
16,17,1e-17,34,121,1,1,1e-17,5.2323273751903e-12,1.97994608162495e-11,9.03704960770676e-11,4.31172308822088e-10,117.886884869928,1,0,
18,19,1e-19,38,121,1,1,1e-19,5.2323273751903e-12,1.97997214512651e-11,9.03624273274314e-11,4.33762518562216e-10,162.398479351781,1,0,
20,21,1e-21,42,121,1,1,1e-21,5.23232726677009e-12,1.98133772073872e-11,9.04733916466222e-11,4.34869963572087e-10,216.983341854241,1,0,
22,23,1e-23,46,133,1,1,1e-23,5.23232715834987e-12,1.97914570276119e-11,9.02283958633205e-11,4.31490559375503e-10,282.676439127901,1,0,
24,25,1e-25,50,145,1,1,1e-25,5.23232726677009e-12,1.97954563329767e-11,9.01956025935462e-11,4.31424956779905e-10,360.512760505924,1,0,
26,27,1e-27,54,157,1,1,1e-27,5.23232715834987e-12,1.9820779279866e-11,9.03190954258856e-11,4.44210583654101e-10,451.527302175377,1,0,
28,29,1e-29,58,169,1,1,1e-29,5.23232715834987e-12,1.98341002676809e-11,9.03918471003051e-11,4.94220916401662e-10,556.755056958349,1,0,
30,31,1e-31,62,181,1,1,1e-31,5.23232704992965e-12,1.98161830423077e-11,9.02006247578906e-11,4.72528789772923e-10,677.231015015107,1,0,
32,33,1e-33,66,193,1,1,1e-33,5.2323273751903e-12,1.98092508867929e-11,9.00822094213911e-11,4.35617061082545e-10,813.990162606334,1,0,
