N,TargetP,TargetT,Q,EvalPoints,Success,ReachedTEnd,FinalT,FinalResidualInf,FinalGridL2,FinalFDH1,FinalFDH2,FinalContL2,FinalContH1,CPUSeconds,FinalJacobianCond,FinalPSDRatio,FinalIndefRatio,FailureReason
2,3,0.001,24,121,1,1,0.001,4.5102810375397e-17,0.00119694724363571,0.00551749816173713,0.0271812496454123,0.00119694725072736,0.00544991599968981,7.7193205,1.62024618438244,1,0,
4,5,1e-05,24,121,1,1,1e-05,2.55351295663786e-15,2.3224315391897e-05,0.000193048281993974,0.00230789215057326,2.32243206499232e-05,0.000186280517967006,7.7847508,4.23832120467311,1,0,
6,7,1e-07,24,121,1,1,1e-07,7.97972798949331e-17,9.58324817623245e-13,4.40679366195025e-12,2.15614725998926e-11,9.58332464316612e-13,4.35581617278025e-12,7.0934344,9.6902607604869,1,0,
8,9,1e-09,24,121,1,1,1e-09,1.66533453693773e-16,1.29814130690408e-14,9.99432802114253e-14,3.22409317097116e-12,1.2987410248392e-14,9.58169543466652e-14,5.5049951,18.9047097268646,1,0,
10,11,1e-11,24,121,1,1,1e-11,5.55111512312578e-17,2.82541358320216e-15,1.11729926941066e-13,5.79892584271968e-12,2.81991383700995e-15,1.05700908105109e-13,5.5191746,32.8551292171672,1,0,
12,13,1e-13,26,121,1,1,1e-13,4.44089209850063e-16,2.16100797509837e-14,5.12806298105635e-13,2.74783639535415e-11,2.16155486204152e-14,4.59452932158287e-13,5.5464814,52.5350674402683,1,0,
14,15,1e-15,30,121,1,1,1e-15,4.9960036108132e-16,4.2757719408115e-15,8.99186288455882e-14,3.75021240485912e-12,4.27646014428139e-15,8.48277924710608e-14,5.6445041,78.9404899124273,1,0,
16,17,1e-17,34,121,1,1,1e-17,6.10622663543836e-16,5.26794631637813e-15,3.55267156448669e-13,3.14973695019501e-11,5.28183640856656e-15,3.56214076671236e-13,5.7474264,113.06827101122,1,0,
18,19,1e-19,38,121,1,1,1e-19,6.10622663543836e-16,1.02564361233667e-14,9.45141325281166e-13,1.0364901117944e-10,1.04081894127396e-14,1.13631648024654e-12,5.9887911,155.915710687723,1,0,
20,21,1e-21,42,121,1,1,1e-21,5.55111512312578e-16,4.25341856683266e-14,1.2720751155556e-12,1.07125250344133e-10,4.25822277833053e-14,1.28877785069703e-12,6.2728103,208.480331814679,1,0,
22,23,1e-23,46,133,1,1,1e-23,5.55111512312578e-16,1.92640931394075e-14,7.42642449153085e-13,6.75871582700685e-11,1.92664899416034e-14,7.59821191623077e-13,6.7919856,271.759783730638,1,0,
24,25,1e-25,50,145,1,1,1e-25,8.32667268468867e-16,1.68561600933033e-14,7.44722427657024e-13,7.01671931124271e-11,1.6851637928918e-14,8.98520427012769e-13,7.298689,346.751791901377,1,0,
26,27,1e-27,54,157,1,1,1e-27,5.55111512312578e-16,6.25775133050191e-14,2.21319828114971e-12,2.26403248049796e-10,6.26344067908673e-14,2.14140057175257e-12,8.0838002,434.45413013319,1,0,
28,29,1e-29,58,169,1,1,1e-29,7.7715611723761e-16,1.04378850568362e-13,4.2160060924487e-12,5.09634923028426e-10,1.04507904422637e-13,4.32735448515941e-12,9.3361051,535.864603720133,1,0,
30,31,1e-31,62,181,1,1,1e-31,6.66133814775094e-16,5.74254784326266e-14,2.8379220556678e-12,4.03458048974608e-10,5.75863299188401e-14,3.27902242971203e-12,11.1161835,651.981039745902,1,0,
32,33,1e-33,66,193,1,1,1e-33,8.32667268468867e-16,3.08496354216516e-14,1.0848772601592e-12,1.47764283078448e-10,3.09133203075665e-14,1.42539702579498e-12,13.2004702,783.801280344368,1,0,
