N,TargetP,TargetT,Q,EvalPoints,Success,ReachedTEnd,FinalT,FinalResidualInf,FinalGridL2,FinalFDH1,FinalFDH2,FinalJacobianCond,FinalPSDRatio,FinalIndefRatio,FailureReason
4,5,1e-05,24,121,1,1,1e-05,2.55351295663786e-15,2.3224315391897e-05,0.000193048281993974,0.00230789215057326,4.23832120467311,1,0,
6,7,1e-07,24,121,1,1,1e-07,7.97972798949331e-17,9.58324817623245e-13,4.40679366195025e-12,2.15614725998926e-11,9.6902607604869,1,0,
8,9,1e-09,24,121,1,1,1e-09,1.66533453693773e-16,1.29814130690408e-14,9.99432802114253e-14,3.22409317097116e-12,18.9047097268646,1,0,
10,11,1e-11,24,121,1,1,1e-11,5.55111512312578e-17,2.82541358320216e-15,1.11729926941066e-13,5.79892584271968e-12,32.8551292171672,1,0,
12,13,1e-13,26,121,1,1,1e-13,4.44089209850063e-16,2.16100797509837e-14,5.12806298105635e-13,2.74783639535415e-11,52.5350674402683,1,0,
14,15,1e-15,30,121,1,1,1e-15,4.9960036108132e-16,4.2757719408115e-15,8.99186288455882e-14,3.75021240485912e-12,78.9404899124273,1,0,
16,17,1e-17,34,121,1,1,1e-17,6.10622663543836e-16,5.26794631637813e-15,3.55267156448669e-13,3.14973695019501e-11,113.06827101122,1,0,
18,19,1e-19,38,121,1,1,1e-19,6.10622663543836e-16,1.02564361233667e-14,9.45141325281166e-13,1.0364901117944e-10,155.915710687723,1,0,
20,21,1e-21,42,121,1,1,1e-21,5.55111512312578e-16,4.25341856683266e-14,1.2720751155556e-12,1.07125250344133e-10,208.480331814679,1,0,
22,23,1e-23,46,133,1,1,1e-23,5.55111512312578e-16,1.92640931394075e-14,7.42642449153085e-13,6.75871582700685e-11,271.759783730638,1,0,
24,25,1e-25,50,145,1,1,1e-25,8.32667268468867e-16,1.68561600933033e-14,7.44722427657024e-13,7.01671931124271e-11,346.751791901377,1,0,
26,27,1e-27,54,157,1,1,1e-27,5.55111512312578e-16,6.25775133050191e-14,2.21319828114971e-12,2.26403248049796e-10,434.45413013319,1,0,
28,29,1e-29,58,169,1,1,1e-29,7.7715611723761e-16,1.04378850568362e-13,4.2160060924487e-12,5.09634923028426e-10,535.864603720133,1,0,
30,31,1e-31,62,181,1,1,1e-31,6.66133814775094e-16,5.74254784326266e-14,2.8379220556678e-12,4.03458048974608e-10,651.981039745902,1,0,
32,33,1e-33,66,193,1,1,1e-33,8.32667268468867e-16,3.08496354216516e-14,1.0848772601592e-12,1.47764283078448e-10,783.801280344368,1,0,
