N,TargetP,TargetT,Q,EvalPoints,Success,ReachedTEnd,FinalT,FinalResidualInf,FinalGridL2,FinalFDH1,FinalFDH2,FinalJacobianCond,FinalPSDRatio,FinalIndefRatio,FailureReason
4,5,1e-05,24,121,1,1,1e-05,2.55351295663786e-15,2.32243153919062e-05,0.000193048281994011,0.00230789215057319,4.23832120467311,1,0,
6,7,1e-07,24,121,1,1,1e-07,7.80625564189563e-17,9.58322474644514e-13,4.40678201353043e-12,2.1561361821476e-11,9.6902607604869,1,0,
8,9,1e-09,24,121,1,1,1e-09,6.05676619969131e-12,9.57566208143949e-13,4.39987931401522e-12,2.15803517288836e-11,18.9047097269958,1,0,
10,11,1e-11,24,121,1,1,1e-11,6.11743988798708e-12,9.54943939255956e-13,4.38173209326798e-12,2.19144543181086e-11,32.8551292174029,1,0,
12,13,1e-13,26,121,1,1,1e-13,6.11793948834816e-12,9.69584158367904e-13,4.5170247896027e-12,3.5394681903048e-11,52.5350674406479,1,0,
14,15,1e-15,30,121,1,1,1e-15,6.11788397719693e-12,9.52604499423292e-13,4.37146361071751e-12,2.13949748365905e-11,78.940489912999,1,0,
16,17,1e-17,34,121,1,1,1e-17,6.11805051065062e-12,9.5241846333119e-13,4.36626437306571e-12,3.77272820357826e-11,113.068271012039,1,0,
18,19,1e-19,38,121,1,1,1e-19,6.11793948834816e-12,9.53257012629537e-13,4.43247087479599e-12,1.05637436854215e-10,155.915710688851,1,0,
20,21,1e-21,42,121,1,1,1e-21,6.11816153295308e-12,9.83311404565848e-13,4.77480943295912e-12,1.09705401308835e-10,208.480331816187,1,0,
22,23,1e-23,46,133,1,1,1e-23,6.11799499949939e-12,9.40558019848929e-13,4.33666842723609e-12,7.04836250043504e-11,271.759783732602,1,0,
24,25,1e-25,50,145,1,1,1e-25,6.11782846604569e-12,9.43391574946974e-13,4.35889282457691e-12,7.30835229524362e-11,346.751791903877,1,0,
26,27,1e-27,54,157,1,1,1e-27,6.11810602180185e-12,9.9980526720492e-13,5.21010195683396e-12,2.27752567747899e-10,434.454130136321,1,0,
28,29,1e-29,58,169,1,1,1e-29,6.11821704410431e-12,1.03022479022038e-12,6.50399452250649e-12,5.1037150494869e-10,535.864603723996,1,0,
30,31,1e-31,62,181,1,1,1e-31,6.11805051065062e-12,9.9124094014463e-13,5.47201188160525e-12,4.04221629335389e-10,651.98103975059,1,0,
32,33,1e-33,66,193,1,1,1e-33,6.11760642144077e-12,9.74705764630791e-13,4.63144170787816e-12,1.49509732379492e-10,783.80128035001,1,0,
