N,TargetP,TargetT,Q,EvalPoints,Success,ReachedTEnd,FinalT,FinalResidualInf,FinalGridL2,FinalFDH1,FinalFDH2,FinalContL2,FinalContH1,CPUSeconds,FinalJacobianCond,FinalPSDRatio,FinalIndefRatio,FailureReason
2,3,0.001,24,121,1,1,0.001,5.55111512312578e-17,0.000602452166892015,0.00277707674352771,0.0136800113744273,0.000602452170461252,0.00274306137338869,5.2341175,1.58244331251826,1,0,
4,5,1e-05,24,121,1,1,1e-05,1.11022302462516e-16,1.16448582436067e-05,9.66505120781988e-05,0.00115378776257975,1.16448608697409e-05,9.32630887787901e-05,5.25052,4.25881320849108,1,0,
6,7,1e-07,24,121,1,1,1e-07,5.55111512312578e-17,2.52154958390924e-13,1.16745637427652e-12,6.13205798615163e-12,2.52158630128949e-13,1.15182552540163e-12,5.3037556,9.66973180178475,1,0,
8,9,1e-09,24,121,1,1,1e-09,2.77555756156289e-16,6.26872608919061e-15,8.28238767170293e-14,3.21643493215196e-12,6.2740637093188e-15,7.85639503777022e-14,5.3701805,18.7437166371302,1,0,
10,11,1e-11,24,121,1,1,1e-11,5.55111512312578e-17,2.75922995228121e-15,1.11143844724731e-13,5.78457521000027e-12,2.76774319986674e-15,1.04914837043987e-13,5.3393654,32.4386270419185,1,0,
12,13,1e-13,26,121,1,1,1e-13,3.33066907387547e-16,2.13496306779618e-14,5.04221640155619e-13,2.70493839753537e-11,2.13582265563359e-14,4.51874480916812e-13,5.3996074,51.725387362488,1,0,
14,15,1e-15,30,121,1,1,1e-15,5.55111512312578e-17,4.37948054340859e-15,8.90632835715228e-14,3.7557358767447e-12,4.37334894723388e-15,8.34846056728407e-14,5.5011272,77.5768013675064,1,0,
16,17,1e-17,34,121,1,1,1e-17,1.90819582357449e-17,5.34457128031742e-15,3.53514633371886e-13,3.12065412513472e-11,5.35563333540854e-15,3.53577878771024e-13,5.7083155,110.966360829034,1,0,
18,19,1e-19,38,121,1,1,1e-19,1.66533453693773e-16,1.0132746334368e-14,9.32105121365741e-13,1.02267072769923e-10,1.02731943912996e-14,1.12178449509554e-12,5.878715,152.867965364685,1,0,
20,21,1e-21,42,121,1,1,1e-21,2.22044604925031e-16,4.20085777364593e-14,1.25470794700107e-12,1.06084903513093e-10,4.20608015766801e-14,1.2734896929956e-12,6.2446214,204.255823067668,1,0,
22,23,1e-23,46,133,1,1,1e-23,1.66533453693773e-16,1.89325114515414e-14,7.33236939315595e-13,6.64035549513761e-11,1.89440598857144e-14,7.4895541613324e-13,6.8069967,266.10440434876,1,0,
24,25,1e-25,50,145,1,1,1e-25,1.05818132034585e-16,1.61840458695433e-14,7.31705553297796e-13,6.92324210001198e-11,1.61845283313945e-14,8.87970222953559e-13,7.493756,339.388416457511,1,0,
26,27,1e-27,54,157,1,1,1e-27,1.11022302462516e-16,6.17928631556201e-14,2.19484728392773e-12,2.24643270998017e-10,6.18409572338343e-14,2.12218401774242e-12,10.6130138,425.08278812619,1,0,
28,29,1e-29,58,169,1,1,1e-29,1.11022302462516e-16,1.03074202887063e-13,4.16277652713774e-12,5.03746478683315e-10,1.03201636427474e-13,4.27467687165213e-12,16.6747998,524.162658934737,1,0,
30,31,1e-31,62,181,1,1,1e-31,4.44089209850063e-16,5.72152274358287e-14,2.80295219127047e-12,3.9812698089313e-10,5.73676837221172e-14,3.23749898164642e-12,20.4539364,637.603372194663,1,0,
32,33,1e-33,66,193,1,1,1e-33,1.11022302462516e-16,3.09489356764485e-14,1.07647119356313e-12,1.4658660081766e-10,3.10046869951574e-14,1.41050706860591e-12,25.7440908,766.380469260858,1,0,
