N,TargetP,TargetT,Q,EvalPoints,Success,ReachedTEnd,FinalT,FinalResidualInf,FinalGridL2,FinalFDH1,FinalFDH2,FinalJacobianCond,FinalPSDRatio,FinalIndefRatio,FailureReason
4,5,1e-05,24,121,1,1,1e-05,1.11022302462516e-16,1.16448582436023e-05,9.66505120781849e-05,0.00115378776257958,4.25881320849108,1,0,
6,7,1e-07,24,121,1,1,1e-07,6.93889390390723e-17,2.52155982340596e-13,1.1674613373555e-12,6.13205607094328e-12,9.66973180178475,1,0,
8,9,1e-09,24,121,1,1,1e-09,1.52827750454776e-12,2.51153675399091e-13,1.15944653115348e-12,6.51020354410795e-12,18.743716637164,1,0,
10,11,1e-11,24,121,1,1,1e-11,1.54343204883389e-12,2.48541326797377e-13,1.14344801484473e-12,7.96414109506931e-12,32.4386270419798,1,0,
12,13,1e-13,26,121,1,1,1e-13,1.54370960459005e-12,2.63738417783801e-13,1.34270957063662e-12,2.78175701358447e-11,51.725387362587,1,0,
14,15,1e-15,30,121,1,1,1e-15,1.54365409343882e-12,2.46045933810003e-13,1.13020665400987e-12,6.55136249812941e-12,77.5768013676554,1,0,
16,17,1e-17,34,121,1,1,1e-17,1.54354307113636e-12,2.459841113234e-13,1.16337795984515e-12,3.1640428132578e-11,110.966360829248,1,0,
18,19,1e-19,38,121,1,1,1e-19,1.54365409343882e-12,2.46761249141682e-13,1.4305110842833e-12,1.02380655532636e-10,152.867965364978,1,0,
20,21,1e-21,42,121,1,1,1e-21,1.54365409343882e-12,2.78402024403955e-13,1.84333356613678e-12,1.06349628309051e-10,204.255823068059,1,0,
22,23,1e-23,46,133,1,1,1e-23,1.54359858228759e-12,2.3489745341032e-13,1.26799487803612e-12,6.65452780924206e-11,266.104404349269,1,0,
24,25,1e-25,50,145,1,1,1e-25,1.54376511574128e-12,2.37950416082989e-13,1.28843143724379e-12,6.94075446276053e-11,339.388416458161,1,0,
26,27,1e-27,54,157,1,1,1e-27,1.54359858228759e-12,2.95554048100804e-13,2.63326815998855e-12,2.24785130402801e-10,425.082788126996,1,0,
28,29,1e-29,58,169,1,1,1e-29,1.54365409343882e-12,3.29415536242409e-13,4.47753486691461e-12,5.03842228925424e-10,524.162658935734,1,0,
30,31,1e-31,62,181,1,1,1e-31,1.54387613804374e-12,2.88153643238405e-13,3.14713232974223e-12,3.98208776489276e-10,637.603372195871,1,0,
32,33,1e-33,66,193,1,1,1e-33,1.54354307113636e-12,2.69940502440965e-13,1.66789435823954e-12,1.46732671461357e-10,766.380469262311,1,0,
