N,Q,EvalPoints,Success,ReachedTEnd,FinalT,FinalResidualInf,FinalGridL2,FinalFDH1,FinalFDH2,FinalJacobianCond,FinalPSDRatio,FinalIndefRatio,FailureReason
6,24,121,1,1,0,1.57418522661601e-12,7.47934008929923e-07,1.00290321195455e-05,0.000242532681469373,17.1842785654823,1,0,
8,24,121,1,1,0,1.57507340503571e-12,5.95607265888745e-09,1.07638247206066e-07,3.89121482340628e-06,35.1072428311879,1,0,
10,24,121,1,1,0,1.57440727122093e-12,3.86646284879092e-11,8.73720509574304e-10,4.26169661397684e-08,62.8944520318405,1,0,
12,26,121,1,1,0,1.57474033812832e-12,3.88890890655177e-13,6.94481729496483e-12,4.07659518524547e-10,102.796528923301,1,0,
14,30,121,1,1,0,1.57440727122093e-12,1.46968515695953e-13,7.66613331657321e-13,1.8872691351473e-11,157.086149241718,1,0,
16,34,121,1,1,0,1.5745182935234e-12,1.39989466129922e-13,1.1522445957119e-12,8.77654548349225e-11,228.049020142047,1,0,
18,38,121,1,1,0,1.57396318201108e-12,1.39605944319707e-13,2.78019904696519e-12,2.99710341133236e-10,317.979940717372,1,0,
20,42,121,1,1,0,1.57462931582586e-12,2.40947954722942e-13,3.814212662558e-12,3.12032512668502e-10,429.180897163904,1,0,
24,50,145,1,1,0,1.57429624891847e-12,1.36427215189062e-13,2.43913299748716e-12,2.40269995788171e-10,724.629657269004,1,0,
28,58,169,1,1,0,1.57440727122093e-12,4.08970891698586e-13,1.20147834789867e-11,1.43839552740792e-09,1132.91496567126,1,0,
36,74,217,1,1,0,1.57462931582586e-12,5.84019028764753e-13,2.26404840014868e-11,3.92827333932774e-09,2362.36614383115,1,0,
