N,TargetP,TargetT,Q,EvalPoints,Success,ReachedTEnd,FinalT,FinalResidualInf,FinalGridL2,FinalFDH1,FinalFDH2,FinalJacobianCond,FinalPSDRatio,FinalIndefRatio,FailureReason
4,5,1e-05,24,121,1,1,1e-05,6.13731288012787e-13,7.25437980774905e-05,0.000646181384963363,0.00891606421884852,6.93460719532556,1,0,
6,7,1e-07,24,121,1,1,1e-07,1.25008510487579e-16,7.47945000200297e-07,1.00290510405206e-05,0.000242532683915772,17.1842785663499,1,0,
8,9,1e-09,24,121,1,1,1e-09,7.7715611723761e-16,5.95607265888745e-09,1.07638247206066e-07,3.89121482340628e-06,35.1072428311855,1,0,
10,11,1e-11,24,121,1,1,1e-11,1.55864210427126e-12,3.86646284879092e-11,8.73720509574304e-10,4.26169661397684e-08,62.8944520318403,1,0,
12,13,1e-13,26,121,1,1,1e-13,1.57462931582586e-12,3.88890890655177e-13,6.94481729496483e-12,4.07659518524547e-10,102.796528923301,1,0,
14,15,1e-15,30,121,1,1,1e-15,1.57440727122093e-12,1.46968515695953e-13,7.66613331657321e-13,1.8872691351473e-11,157.086149241719,1,0,
16,17,1e-17,34,121,1,1,1e-17,1.5745182935234e-12,1.39989466129922e-13,1.1522445957119e-12,8.77654548349225e-11,228.049020142047,1,0,
18,19,1e-19,38,121,1,1,1e-19,1.57396318201108e-12,1.39605944319707e-13,2.78019904696519e-12,2.99710341133236e-10,317.979940717372,1,0,
20,21,1e-21,42,121,1,1,1e-21,1.57462931582586e-12,2.40947954722942e-13,3.814212662558e-12,3.12032512668502e-10,429.180897163904,1,0,
22,23,1e-23,46,133,1,1,1e-23,1.57429624891847e-12,9.80300813073921e-14,3.5601432353902e-12,3.24359586324781e-10,563.959817374655,1,0,
24,25,1e-25,50,145,1,1,1e-25,1.57429624891847e-12,1.36427215189062e-13,2.43913299748716e-12,2.40269995788171e-10,724.629657269004,1,0,
26,27,1e-27,54,157,1,1,1e-27,1.57429624891847e-12,2.96729799629441e-13,6.36491020654248e-12,6.36045287228776e-10,913.507691671848,1,0,
28,29,1e-29,58,169,1,1,1e-29,1.57440727122093e-12,4.08970891698586e-13,1.20147834789867e-11,1.43839552740792e-09,1132.91496567126,1,0,
30,31,1e-31,62,181,1,1,1e-31,1.57496238273325e-12,2.64841729287038e-13,8.50110484574682e-12,1.20241622414163e-09,1385.17583595592,1,0,
32,33,1e-33,66,193,1,1,1e-33,1.5736301151037e-12,2.0475721648221e-13,3.66743675810091e-12,5.62542516467034e-10,1672.61761503178,1,0,
