N,TargetP,TargetT,Q,EvalPoints,Success,ReachedTEnd,FinalT,FinalResidualInf,FinalGridL2,FinalFDH1,FinalFDH2,CPUSeconds,FinalJacobianCond,FinalPSDRatio,FinalIndefRatio,FailureReason
4,5,1e-05,24,121,1,1,1e-05,8.88178419700125e-16,6.39866643664163e-15,8.15361267509605e-14,2.67751012306306e-12,5.1893994,13.039815851043,1,0,
6,7,1e-07,24,121,1,1,1e-07,1.77635683940025e-15,1.38232318763929e-14,1.87791984016947e-13,4.79156520590965e-12,5.1905038,35.7166020974176,1,0,
8,9,1e-09,24,121,1,1,1e-09,9.76996261670138e-15,1.14402677812395e-14,2.009539986317e-13,7.96182844372547e-12,5.2430597,75.7850828893603,1,0,
10,11,1e-11,24,121,1,1,1e-11,8.88178419700125e-16,7.21695234050699e-15,2.96613792068465e-13,1.57163966583243e-11,5.2398405,137.401990166215,1,0,
12,13,1e-13,26,121,1,1,1e-13,3.5527136788005e-15,5.2845853783471e-14,1.35143105868467e-12,7.40143050338004e-11,5.2600956,225.18143776466,1,0,
14,15,1e-15,30,121,1,1,1e-15,8.88178419700125e-16,9.73767804252336e-15,2.15590566854142e-13,1.01273315260379e-11,5.2444599,343.784710720582,1,0,
16,17,1e-17,34,121,1,1,1e-17,2.66453525910038e-15,1.35950182809794e-14,9.34167741503567e-13,8.30861854603042e-11,5.3825854,497.89693618224,1,0,
18,19,1e-19,38,121,1,1,1e-19,8.88178419700125e-16,2.56095624866881e-14,2.4013088221379e-12,2.64553420434857e-10,5.5947046,692.209401133219,1,0,
20,21,1e-21,42,121,1,1,1e-21,2.66453525910038e-15,1.05377718183876e-13,3.37981922288239e-12,2.88571165162879e-10,5.6870396,931.41438849398,1,0,
22,23,1e-23,46,133,1,1,1e-23,3.5527136788005e-15,5.41488049516815e-14,1.92692057525567e-12,1.78953208106687e-10,5.981401,1220.2038533875,1,0,
24,25,1e-25,50,145,1,1,1e-25,5.32907051820075e-15,4.15455689265323e-14,1.91270071203846e-12,1.83642872218229e-10,6.3101686,1563.26917967391,1,0,
26,27,1e-27,54,157,1,1,1e-27,3.5527136788005e-15,1.554038907381e-13,5.8793407959791e-12,6.08512072822215e-10,6.6791801,1965.30122664984,1,0,
28,29,1e-29,58,169,1,1,1e-29,8.88178419700125e-15,2.60408916680638e-13,1.12288434013301e-11,1.37028446838515e-09,7.3007058,2430.99042928034,1,0,
30,31,1e-31,62,181,1,1,1e-31,2.66453525910038e-15,1.41506197218327e-13,7.48535050569024e-12,1.07381696758184e-09,8.2826519,2965.02689707793,1,0,
32,33,1e-33,66,193,1,1,1e-33,4.88498130835069e-15,7.63315164839753e-14,2.83929492534183e-12,3.91729198649408e-10,9.5538042,3572.10049379589,1,0,
