N,TargetP,TargetT,Q,EvalPoints,Success,ReachedTEnd,FinalT,FinalResidualInf,FinalGridL2,FinalFDH1,FinalFDH2,FinalJacobianCond,FinalPSDRatio,FinalIndefRatio,FailureReason
4,5,1e-05,24,121,1,1,1e-05,4.03765909595677e-12,3.83507085990476e-09,1.74556724294387e-08,8.20218855891369e-08,13.039815749454,1,0,
6,7,1e-07,24,121,1,1,1e-07,8.88178419700125e-16,3.83555299396052e-11,1.74464099094356e-10,8.12402620737237e-10,35.7166020973941,1,0,
8,9,1e-09,24,121,1,1,1e-09,2.66453525910038e-15,3.90724065977067e-13,1.79467327926408e-12,1.16202020307293e-11,75.7850828893891,1,0,
10,11,1e-11,24,121,1,1,1e-11,9.62874224796906e-12,3.8514283579374e-13,1.77369194345731e-12,1.77083369424436e-11,137.401990166291,1,0,
12,13,1e-13,26,121,1,1,1e-13,9.72377733887697e-12,4.14743556407832e-13,2.33571005214008e-12,7.46009680619136e-11,225.181437764799,1,0,
14,15,1e-15,30,121,0,0,1,0,0.0350470428499162,0.208605154614031,1.99498486532713,12281.7805604335,0.74,0.26,Scheduled continuation failed before reaching t = 0; level t = 1.00e-01 did not converge (line_search_failed).
16,17,1e-17,34,121,1,1,1e-17,9.72821823097547e-12,3.80495026405271e-13,1.94445043108882e-12,8.34428997649756e-11,497.896936182555,1,0,
18,19,1e-19,38,121,0,0,1,0,0.0350470428050149,0.208605203117377,1.99535004799091,44628.9095335929,0.739612188365651,0.260387811634349,Scheduled continuation failed before reaching t = 0; level t = 1.00e-01 did not converge (max_iterations_reached).
20,21,1e-21,42,121,0,0,1,0,0.0350470428023875,0.208605199613677,1.99538294853027,77722.0071798769,0.741496598639456,0.258503401360544,Scheduled continuation failed before reaching t = 0; level t = 1.00e-01 did not converge (max_iterations_reached).
22,23,1e-23,46,133,0,0,1,0,0.0350470436586758,0.208133657445914,1.99721208829135,129177.694598757,0.741020793950851,0.258979206049149,Scheduled continuation failed before reaching t = 0; level t = 1.00e-01 did not converge (max_iterations_reached).
24,25,1e-25,50,145,0,0,1,0,0.0350470442013107,0.207733496559015,1.99869724219384,206387.08970896,0.74,0.26,Scheduled continuation failed before reaching t = 0; level t = 1.00e-01 did not converge (max_iterations_reached).
26,27,1e-27,54,157,0,0,1,0,0.0350470445584442,0.207389710170166,1.99992650250974,318781.124714489,0.740054869684499,0.259945130315501,Scheduled continuation failed before reaching t = 0; level t = 1.00e-01 did not converge (max_iterations_reached).
28,29,1e-29,58,169,0,0,1,0,0.0350470448013158,0.207091206586435,2.00096032272624,478176.044038275,0.738406658739596,0.261593341260404,Scheduled continuation failed before reaching t = 0; level t = 1.00e-01 did not converge (max_iterations_reached).
30,31,1e-31,62,181,0,0,1,0,0.0350470449712502,0.206829615570757,2.0018415578092,699146.000113604,0.738813735691987,0.261186264308013,Scheduled continuation failed before reaching t = 0; level t = 1.00e-01 did not converge (max_iterations_reached).
32,33,1e-33,66,193,0,0,1,0,0.0350470450928996,0.206598504572442,2.00260142590625,999422.747042953,0.739669421487603,0.260330578512397,Scheduled continuation failed before reaching t = 0; level t = 1.00e-01 did not converge (max_iterations_reached).
